node2vec_time,node2vec_memory,precomp_time,precomp_memory,SparseOTF_time,SparseOTF_memory,DenseOTF_time,DenseOTF_memory
1.650103092,0.050060272,0.003133059,0.007000923,0.002954006,0.007000923,0.065407991,0.051870346
2.317479849,0.050291061,0.006088018,0.007000923,0.004446983,0.007000923,0.152817965,0.071147919
2.583752871,0.049799919,0.00312376,0.007000923,0.003297091,0.007000923,0.184506178,0.066623688
3.107954979,0.051196098,0.003549814,0.007000923,0.003911972,0.007000923,0.140912771,0.064343452
2.120507956,0.050071716,0.003716707,0.007000923,0.003333807,0.007000923,0.14299798,0.05117321
3.073081732,0.050312042,0.004015923,0.007000923,0.003858805,0.007000923,0.077124834,0.053957939
0.94190383,0.050570488,0.002933025,0.007000923,0.002852917,0.007000923,0.035153866,0.043559074
1.60298419,0.051158905,0.002809048,0.007000923,0.00356102,0.007000923,0.087437868,0.064390182
1.351727009,0.050664902,0.002866983,0.007000923,0.003427029,0.007000923,0.068299055,0.054807663
1.766890049,0.048986435,0.002840757,0.007000923,0.002850056,0.007000923,0.094066858,0.055314064
1.292656898,0.050650597,0.004816055,0.007000923,0.003889799,0.007000923,0.054362059,0.046453476
1.082138062,0.05000782,0.002835035,0.007000923,0.003701925,0.007000923,0.05339694,0.049274445
1.374150753,0.050699234,0.002820015,0.007000923,0.002889156,0.007000923,0.08150506,0.065574646
1.499377012,0.052752495,0.002828121,0.007000923,0.002748966,0.007000923,0.075716257,0.053344727
1.407878876,0.051326752,0.002928972,0.007000923,0.002995968,0.007000923,0.154900074,0.052165985
1.606287003,0.049908638,0.0029881,0.007000923,0.002822161,0.007000923,0.085067987,0.055228233
1.05641818,0.050597191,0.002799034,0.007000923,0.002961159,0.007000923,0.054578066,0.049365997
0.710528135,0.051843643,0.002923012,0.007000923,0.002867937,0.007000923,0.025804996,0.04175663
0.915828228,0.051012993,0.002867222,0.007000923,0.002796173,0.007000923,0.045171976,0.046546936
1.596240282,0.049959183,0.002886057,0.007000923,0.00278306,0.007000923,0.086255074,0.055656433
1.402826309,0.050714493,0.002961159,0.007000923,0.002893686,0.007000923,0.076326132,0.05437088
1.077031851,0.050937653,0.002893209,0.007000923,0.002759933,0.007000923,0.055544138,0.049227715
0.693068743,0.05121994,0.002861023,0.007000923,0.002895832,0.007000923,0.026220083,0.041611671
1.515096903,0.049953461,0.002825975,0.007000923,0.002969027,0.007000923,0.159990072,0.053977013
2.453490019,0.049668312,0.00334096,0.007000923,0.002882957,0.007000923,0.075661182,0.053476334
1.492022038,0.051115036,0.003104925,0.007000923,0.003001213,0.007000923,0.087513924,0.061362267
1.584832907,0.05095005,0.002763987,0.007000923,0.003162861,0.007000923,0.075062752,0.055000305
